Block,Female,Haplotype,Male exposure,Vial,Female offspring,Male offspring,Other,Total offspring,Mortality
6,145,Sweden,H,1,6,9,0,15,N
6,145,Sweden,L,2,6,4,1,11,N
6,145,Sweden,H,3,1,0,0,1,N
6,145,Sweden,L,4,2,0,0,2,N
6,146,Sweden,H,1,7,12,2,21,N
6,146,Sweden,L,2,13,21,1,35,N
6,146,Sweden,H,3,16,15,1,32,N
6,146,Sweden,L,4,16,19,0,35,N
6,147,Sweden,L,1,14,15,0,29,N
6,147,Sweden,H,2,8,13,0,21,N
6,147,Sweden,L,3,20,16,0,36,N
6,147,Sweden,H,4,13,15,0,28,N
6,148,Sweden,L,1,2,9,0,11,N
6,148,Sweden,H,2,9,7,0,16,N
6,148,Sweden,L,3,15,24,0,39,N
6,148,Sweden,H,4,19,13,0,32,N
6,149,Sweden,L,1,10,13,0,23,N
6,149,Sweden,H,2,16,17,0,33,N
6,149,Sweden,L,3,19,10,0,29,N
6,149,Sweden,H,4,4,5,4,13,N
6,150,Israel,H,1,16,17,2,35,N
6,150,Israel,L,2,32,38,0,70,N
6,150,Israel,H,3,17,21,0,38,N
6,150,Israel,L,4,10,15,0,25,N
6,151,Israel,H,1,16,22,1,39,N
6,151,Israel,L,2,23,22,1,46,N
6,151,Israel,H,3,24,11,0,35,N
6,151,Israel,L,4,17,13,0,30,N
6,152,Israel,H,1,20,11,0,31,N
6,152,Israel,L,2,27,17,0,44,N
6,152,Israel,H,3,16,14,0,30,N
6,152,Israel,L,4,9,12,0,21,N
6,153,Israel,L,1,14,8,0,22,N
6,153,Israel,H,2,11,9,0,20,N
6,153,Israel,L,3,17,24,0,41,N
6,153,Israel,H,4,9,9,0,18,N
6,154,Israel,L,1,6,14,0,20,N
6,154,Israel,H,2,7,16,0,23,N
